FirstName|LastName|Occupation|HasEmployedAsLobbyistOnly|EmploymentExplanation|SubmittedDate|Year|Quarter|DisclosureXML
Alan|Stachura|Senior Manager|0|Other responsibilities|1/9/13 12:00 AM|2012|4|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Albert|Carter|Lobbyist|1|NA|5/2/12 9:39 AM|2012|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>844</EmployerId><LegalName>Carter  Racing Stables</LegalName><AddressLine1>305 North Ashview Lane</AddressLine1><AddressLine2>Greenville, DE 19807</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>844</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Albert|Carter|Lobbyist|1|NA|7/24/12 10:21 AM|2012|2|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>844</EmployerId><LegalName>Carter  Racing Stables</LegalName><AddressLine1>305 North Ashview Lane</AddressLine1><AddressLine2>Greenville, DE 19807</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>844</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Albert|Carter|Lobbyist|1|NA|10/4/12 10:17 AM|2012|3|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>844</EmployerId><LegalName>Carter  Racing Stables</LegalName><AddressLine1>305 North Ashview Lane</AddressLine1><AddressLine2>Greenville, DE 19807</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>844</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Albert|Carter|Lobbyist|1|NA|2/19/13 12:00 AM|2012|4|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Aleks|Casper|State Director|0|I am the State Director for the Delaware Chapter of the March of Dimes and interact with Legislators and advocate for the mission of the March of Dimes as part of my job responsibilities.  I am an employee of the March of Dimes and not a lobbyist.|4/4/12 11:34 AM|2012|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>180</EmployerId><LegalName>MARCH OF DIMES</LegalName><AddressLine1>236-C James St.</AddressLine1><AddressLine2>Newport, DE 19804</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>180</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Aleks|Casper|State Director|0|I am the State Director for the Delaware Chapter of the March of Dimes and interact with Legislators and advocate for the mission of the March of Dimes as part of my job responsibilities.  I am an employee of the March of Dimes and not a lobbyist.|7/2/12 10:53 AM|2012|2|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>180</EmployerId><LegalName>MARCH OF DIMES</LegalName><AddressLine1>236-C James St.</AddressLine1><AddressLine2>Newport, DE 19804</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>180</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Aleks|Casper|State Director|0|I am the State Director for the Delaware Chapter of the March of Dimes and interact with Legislators and advocate for the mission of the March of Dimes as part of my job responsibilities.  I am an employee of the March of Dimes and not a lobbyist.|10/1/12 9:27 AM|2012|3|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>180</EmployerId><LegalName>MARCH OF DIMES</LegalName><AddressLine1>236-C James St.</AddressLine1><AddressLine2>Newport, DE 19804</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>180</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Aleks|Casper|State Director|0|I am the State Director for the Delaware Chapter of the March of Dimes and interact with Legislators and advocate for the mission of the March of Dimes as part of my job responsibilities.  I am an employee of the March of Dimes and not a lobbyist.|1/8/13 12:00 AM|2012|4|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Alexander|Garcia|Self Employed|0|Volunteer|4/4/12 11:19 AM|2012|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>852</EmployerId><LegalName>9-12 Delaware Patriots</LegalName><AddressLine1>686 DuPont Highway PMB #102</AddressLine1><AddressLine2>Milford, DE 19963</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>852</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Alexander|Garcia|Self Employed|0|Volunteer|10/3/12 11:05 AM|2012|2|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>852</EmployerId><LegalName>9-12 Delaware Patriots</LegalName><AddressLine1>POB 78</AddressLine1><AddressLine2>Magnolia, DE 19962</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>852</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Alexander|Garcia|Self Employed|0|Volunteer|10/3/12 11:04 AM|2012|3|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>852</EmployerId><LegalName>9-12 Delaware Patriots</LegalName><AddressLine1>POB 78</AddressLine1><AddressLine2>Magnolia, DE 19962</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>852</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Alice|Jacobsohn|Director, Education|0|I work for a trade association where my role also includes developing educational programs,planning meetings, and developing research bulletins.|4/4/12 10:35 AM|2012|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>649</EmployerId><LegalName>National Solid Wastes Management Association</LegalName><AddressLine1>4301 Connecticut Avenue, NW&lt;br&gt;Suite 300</AddressLine1><AddressLine2>Washington, DC 20008</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>649</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Alice|Hoffman|Lawyer|0|I am a member of the Delaware Bar who acts on behalf of clients in certain legislative matters.|4/4/12 12:13 PM|2012|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>876</EmployerId><LegalName>Christina River, LLC</LegalName><AddressLine1>30 Commerce Street</AddressLine1><AddressLine2>Wilmington, DE 19801</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>876</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Alice|Hoffman|Lawyer|0|I am a member of the Delaware Bar who acts on behalf of clients in certain legislative matters.|7/27/12 5:43 PM|2012|2|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>876</EmployerId><LegalName>Christina River, LLC</LegalName><AddressLine1>30 Commerce Street</AddressLine1><AddressLine2>Wilmington, DE 19801</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>876</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Alice|Jacobsohn|Director, Education|0|I work for a trade association where my role also includes developing educational programs,planning meetings, and developing research bulletins.|7/2/12 10:53 AM|2012|2|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>649</EmployerId><LegalName>National Solid Wastes Management Association</LegalName><AddressLine1>4301 Connecticut Avenue, NW&lt;br&gt;Suite 300</AddressLine1><AddressLine2>Washington, DC 20008</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>649</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Alice|Jacobsohn|Director, Education|0|I work for a trade association where my role also includes developing educational programs,planning meetings, and developing research bulletins.|10/11/12 2:59 PM|2012|3|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>649</EmployerId><LegalName>National Solid Wastes Management Association</LegalName><AddressLine1>4301 Connecticut Avenue, NW&lt;br&gt;Suite 300</AddressLine1><AddressLine2>Washington, DC 20008</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>649</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Alice|Hoffman|Lawyer|0|I am a member of the Delaware Bar who acts on behalf of clients in certain legislative matters.|10/19/12 4:51 PM|2012|3|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>876</EmployerId><LegalName>Christina River, LLC</LegalName><AddressLine1>30 Commerce Street</AddressLine1><AddressLine2>Wilmington, DE 19801</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>876</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Alice|Hoffman|Lawyer|0|I am a member of the Delaware Bar who acts on behalf of clients in certain legislative matters.|2/4/13 12:00 AM|2012|4|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Alice|Jacobsohn|Director, Education|0|I work for a trade association where my role also includes developing educational programs,planning meetings, and developing research bulletins.|3/7/13 12:00 AM|2012|4|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Amelia|Auner|Social Worker|0|Job responsibilities cover a wide variety of areas, including advocacy.|4/6/12 3:25 PM|2012|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>221</EmployerId><LegalName>PLANNED PARENTHOOD ADVOCACY FUND OF DELAWARE, INC.</LegalName><AddressLine1>625 Shipley St.</AddressLine1><AddressLine2>Wilmington, DE 19801</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>221</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure><LobsEmployerExpenditure><ItemId>2</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>222</EmployerId><LegalName>PLANNED PARENTHOOD OF DELAWARE</LegalName><AddressLine1>625 Shipley St.</AddressLine1><AddressLine2>Wilmington, DE 19801</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>222</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Amelia|Auner|Social Worker|0|Job responsibilities cover a wide variety of areas, including advocacy.|7/2/12 11:30 AM|2012|2|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>221</EmployerId><LegalName>PLANNED PARENTHOOD ADVOCACY FUND OF DELAWARE, INC.</LegalName><AddressLine1>625 Shipley St.</AddressLine1><AddressLine2>Wilmington, DE 19801</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>221</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure><LobsEmployerExpenditure><ItemId>2</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>222</EmployerId><LegalName>PLANNED PARENTHOOD OF DELAWARE</LegalName><AddressLine1>625 Shipley St.</AddressLine1><AddressLine2>Wilmington, DE 19801</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>222</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Amelia|Auner|Social Worker|0|Job responsibilities cover a wide variety of areas, including advocacy.|10/19/12 11:17 AM|2012|3|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>221</EmployerId><LegalName>PLANNED PARENTHOOD ADVOCACY FUND OF DELAWARE, INC.</LegalName><AddressLine1>625 Shipley St.</AddressLine1><AddressLine2>Wilmington, DE 19801</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>221</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure><LobsEmployerExpenditure><ItemId>2</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>222</EmployerId><LegalName>PLANNED PARENTHOOD OF DELAWARE</LegalName><AddressLine1>625 Shipley St.</AddressLine1><AddressLine2>Wilmington, DE 19801</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>222</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Amelia|Auner|Social Worker|0|Job responsibilities cover a wide variety of areas, including advocacy.|1/4/13 6:47 PM|2012|4|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>221</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>221</EmployerId><LegalName>PLANNED PARENTHOOD ADVOCACY FUND OF DELAWARE, INC.</LegalName><AddressLine1>625 Shipley St.</AddressLine1><AddressLine2>NA</AddressLine2><City>Wilmington</City><State>Delaware</State><ZipCode>19801</ZipCode></Employer><EmployerId>221</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
