FirstName|LastName|Occupation|HasEmployedAsLobbyistOnly|EmploymentExplanation|SubmittedDate|Year|Quarter|DisclosureXML
Carrie|Leishman|President Delaware Restaurant Association|0|President/CEO  Delaware Restaurant Association|5/6/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>790</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>790</EmployerId><LegalName>delaware restaurant association</LegalName><AddressLine1>P.O. Box 8004</AddressLine1><AddressLine2>NA</AddressLine2><City>Newark</City><State>Delaware</State><ZipCode>19714</ZipCode></Employer><EmployerId>790</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Cathy Scott|Holloway|Program Director|0|To assist with lobbying efforts as needed|4/11/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>11</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>11</EmployerId><LegalName>Delaware Breast Cancer Coalition</LegalName><AddressLine1>100 W. 10th Street</AddressLine1><AddressLine2>Suite 1105</AddressLine2><City>Wilmington</City><State>Delaware</State><ZipCode>19801</ZipCode></Employer><EmployerId>11</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Charles|Ellinwood|Managing Director|0|Full time salaried employee whos duties include lobbying on issues regarding debt and derivative transactions.|4/11/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Charles|Mead-e|RN|1||4/5/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Charles|Shaffer|Asset Management|1||4/3/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Charlotte|King|Retired Social Worker|1||4/19/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>175</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>175</EmployerId><LegalName>LEAGUE OF WOMEN VOTERS</LegalName><AddressLine1>2400 W 17th Street - Clash Wing</AddressLine1><AddressLine2>Room 1, Lower Level</AddressLine2><City>Wilmington</City><State>Delaware</State><ZipCode>19806</ZipCode></Employer><EmployerId>175</EmployerId><FoodRefreshments>100</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Cheryl|Heiks|Lobbyist|1||4/8/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Christine|Stillson|League of Women Voters of Kent County|0|I am currently retired from employment with a housing nonprofit organization. I am  a member of League of Women Voters, a nonprofit bipartisan political advocacy organization.|4/21/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>175</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>175</EmployerId><LegalName>LEAGUE OF WOMEN VOTERS</LegalName><AddressLine1>2400 W 17th Street - Clash Wing</AddressLine1><AddressLine2>Room 1, Lower Level</AddressLine2><City>Wilmington</City><State>Delaware</State><ZipCode>19806</ZipCode></Employer><EmployerId>175</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Christine P.|Schiltz|Attorney|0|Attorney|4/3/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1036</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>1036</EmployerId><LegalName>Online Lenders Alliance</LegalName><AddressLine1>P.O. Box 15480</AddressLine1><AddressLine2>Southeast Station</AddressLine2><City>Washington</City><State>District of Columbia</State><ZipCode>20003</ZipCode></Employer><EmployerId>1036</EmployerId><FoodRefreshments>32.5</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Christopher|Simon|Attorney|0|Attorney offering lobbying services to clients|4/9/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>456</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>456</EmployerId><LegalName>Cross &amp; Simon, LLC</LegalName><AddressLine1>913 North Market Street</AddressLine1><AddressLine2>11th Floor</AddressLine2><City>Wilmington</City><State>Delaware</State><ZipCode>19801</ZipCode></Employer><EmployerId>456</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Christopher|Bason|Non-profit Deputy Director|0|My duties as the deputy director of a non-profit responsible for implementing an estuarine conservation and management plan occasionally require me to visit elected officials to educate them about topics of concern to the organization and deliver to them reports required by the organization's charter.|4/8/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>468</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>468</EmployerId><LegalName>Center for the Inland Bays</LegalName><AddressLine1>39375 Inlet Road</AddressLine1><AddressLine2>NA</AddressLine2><City>Rehoboth Beach</City><State>Delaware</State><ZipCode>19971</ZipCode></Employer><EmployerId>468</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Christopher V.|DiPietro|Lobbyist/ Consultant|1|NA|4/18/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
